iso3,country,adult_obesity_1999,adult_obesity_2000,adult_obesity_2001,adult_obesity_2002,adult_obesity_2003,adult_obesity_2004,adult_obesity_2005,adult_obesity_2006,adult_obesity_2007,adult_obesity_2008,adult_obesity_2009,adult_obesity_2010,adult_obesity_2011,adult_obesity_2012,adult_obesity_2013,adult_obesity_2014,adult_obesity_2015,adult_obesity_2016,adult_diabetes_1999,adult_diabetes_2000,adult_diabetes_2001,adult_diabetes_2002,adult_diabetes_2003,adult_diabetes_2004,adult_diabetes_2005,adult_diabetes_2006,adult_diabetes_2007,adult_diabetes_2008,adult_diabetes_2009,adult_diabetes_2010,adult_diabetes_2011,adult_diabetes_2012,adult_diabetes_2013,adult_diabetes_2014
DZA,Algeria,9.87,10.33,10.8,11.29,11.79,12.32,12.86,13.42,13.99,14.59,15.2,15.83,16.47,17.13,17.8,18.49,19.19,19.91,8.31,8.55,8.81,9.06,9.33,9.61,9.88,10.14,10.41,10.68,10.96,11.22,11.47,11.73,12.00,12.26
ECU,Ecuador,8.43,8.77,9.11,9.45,9.8,10.15,10.51,10.87,11.23,11.6,11.97,12.36,12.75,13.15,13.57,13.99,14.43,14.89,5.61,5.71,5.81,5.90,5.99,6.09,6.19,6.30,6.41,6.54,6.67,6.81,6.96,7.12,7.29,7.47
EGY,Egypt,13.02,13.46,13.92,14.39,14.88,15.38,15.9,16.44,16.99,17.55,18.14,18.74,19.35,19.99,20.64,21.3,21.99,22.7,10.54,10.82,11.11,11.41,11.71,12.02,12.33,12.65,13.00,13.37,13.77,14.20,14.65,15.09,15.53,15.99
ERI,Eritrea,0.79,0.83,0.88,0.93,0.98,1.04,1.1,1.16,1.22,1.29,1.37,1.44,1.53,1.62,1.71,1.81,1.92,2.04,4.19,4.32,4.45,4.57,4.69,4.80,4.90,5.00,5.11,5.21,5.32,5.43,5.55,5.68,5.82,5.96
ESP,Spain,16.87,17.29,17.72,18.15,18.59,19.03,19.47,19.92,20.37,20.82,21.28,21.73,22.19,22.66,23.13,23.6,24.08,24.57,7.78,7.92,8.05,8.16,8.27,8.35,8.42,8.46,8.49,8.51,8.52,8.52,8.53,8.53,8.53,8.54
EST,Estonia,14,14.31,14.64,14.97,15.31,15.66,16.02,16.39,16.76,17.13,17.51,17.89,18.27,18.67,19.06,19.47,19.89,20.31,6.50,6.55,6.61,6.69,6.77,6.86,6.96,7.06,7.15,7.23,7.30,7.36,7.44,7.52,7.61,7.71
ETH,Ethiopia,0.72,0.77,0.81,0.86,0.9,0.95,1.01,1.06,1.12,1.19,1.25,1.33,1.4,1.49,1.58,1.68,1.78,1.89,4.08,4.19,4.31,4.42,4.52,4.63,4.74,4.84,4.95,5.06,5.17,5.29,5.40,5.53,5.66,5.80
FIN,Finland,15.94,16.39,16.84,17.29,17.73,18.18,18.62,19.06,19.51,19.95,20.4,20.85,21.31,21.77,22.25,22.73,23.22,23.72,6.66,6.68,6.68,6.69,6.68,6.67,6.65,6.62,6.60,6.57,6.53,6.50,6.47,6.44,6.42,6.40
FJI,Fiji,14.85,15.39,15.93,16.48,17.03,17.59,18.15,18.73,19.31,19.9,20.5,21.12,21.74,22.38,23.03,23.69,24.37,25.05,10.74,11.01,11.30,11.61,11.94,12.29,12.65,13.02,13.39,13.75,14.11,14.46,14.80,15.17,15.55,15.95
FRA,France,14.39,14.8,15.22,15.64,16.06,16.49,16.92,17.36,17.8,18.25,18.7,19.15,19.61,20.08,20.55,21.03,21.52,22.02,6.52,6.60,6.70,6.78,6.87,6.95,7.02,7.08,7.14,7.18,7.22,7.26,7.31,7.35,7.40,7.46
FSM,Micronesia (Federated States of),27.17,27.76,28.38,29.04,29.71,30.42,31.15,31.91,32.69,33.49,34.29,35.11,35.93,36.76,37.6,38.44,39.28,40.13,13.76,14.17,14.60,15.04,15.49,15.94,16.39,16.84,17.30,17.75,18.20,18.65,19.10,19.56,20.03,20.51
GAB,Gabon,4.43,4.69,4.97,5.24,5.52,5.81,6.1,6.39,6.69,6.99,7.3,7.61,7.93,8.25,8.58,8.92,9.27,9.62,7.49,7.70,7.90,8.09,8.28,8.46,8.63,8.79,8.95,9.11,9.25,9.38,9.53,9.68,9.84,10.01
GBR,United Kingdom of Great Britain and Northern Ireland,16.53,17.06,17.61,18.18,18.75,19.34,19.93,20.53,21.14,21.75,22.37,23,23.63,24.26,24.9,25.55,26.21,26.87,5.87,5.93,6.00,6.06,6.12,6.19,6.25,6.30,6.35,6.39,6.42,6.46,6.50,6.53,6.57,6.62
GEO,Georgia,10.81,11.13,11.48,11.84,12.22,12.62,13.04,13.49,13.96,14.46,14.97,15.51,16.07,16.65,17.25,17.88,18.53,19.2,7.64,7.85,8.09,8.36,8.66,8.99,9.34,9.71,10.11,10.53,10.95,11.38,11.83,12.30,12.78,13.28
GHA,Ghana,1.74,1.86,1.98,2.11,2.25,2.39,2.53,2.68,2.84,3,3.16,3.34,3.52,3.7,3.9,4.1,4.32,4.55,5.10,5.21,5.32,5.43,5.53,5.63,5.73,5.82,5.90,5.98,6.05,6.12,6.19,6.26,6.33,6.41
GIN,Guinea,1.46,1.54,1.63,1.72,1.82,1.93,2.04,2.15,2.27,2.4,2.53,2.67,2.82,2.98,3.14,3.32,3.51,3.71,4.48,4.63,4.80,4.96,5.11,5.26,5.40,5.55,5.69,5.83,5.98,6.13,6.28,6.43,6.58,6.75
GMB,Gambia,1.99,2.13,2.28,2.44,2.61,2.79,2.98,3.17,3.37,3.58,3.8,4.03,4.27,4.52,4.78,5.05,5.34,5.63,5.90,6.11,6.33,6.54,6.76,6.99,7.21,7.43,7.66,7.90,8.15,8.41,8.66,8.91,9.17,9.44
GNB,Guinea-Bissau,1.71,1.83,1.96,2.1,2.25,2.4,2.57,2.74,2.92,3.11,3.31,3.52,3.74,3.97,4.21,4.47,4.74,5.03,4.96,5.13,5.31,5.50,5.68,5.87,6.05,6.22,6.39,6.55,6.70,6.83,6.96,7.10,7.23,7.36
GNQ,Equatorial Guinea,1.68,1.77,1.86,1.95,2.04,2.14,2.24,2.35,2.46,2.58,2.7,2.83,2.97,3.11,3.26,3.43,3.6,3.78,5.26,5.53,5.83,6.13,6.44,6.77,7.08,7.38,7.68,7.97,8.24,8.50,8.74,9.00,9.24,9.49
GRC,Greece,15.62,16.04,16.48,16.93,17.4,17.87,18.35,18.84,19.34,19.85,20.37,20.89,21.42,21.95,22.5,23.05,23.61,24.18,6.38,6.45,6.52,6.59,6.65,6.71,6.76,6.81,6.86,6.92,6.98,7.04,7.10,7.15,7.19,7.25
GRD,Grenada,6.73,7.05,7.38,7.72,8.06,8.41,8.77,9.13,9.49,9.87,10.25,10.65,11.06,11.48,11.92,12.38,12.85,13.35,5.89,6.05,6.23,6.41,6.60,6.79,6.99,7.18,7.39,7.59,7.79,7.98,8.17,8.37,8.58,8.81
GTM,Guatemala,7.83,8.17,8.53,8.89,9.26,9.64,10.04,10.44,10.84,11.26,11.69,12.13,12.59,13.06,13.54,14.03,14.55,15.08,6.69,6.86,7.04,7.21,7.38,7.55,7.71,7.87,8.01,8.16,8.28,8.40,8.53,8.66,8.79,8.93
GUY,Guyana,6.06,6.33,6.61,6.91,7.22,7.54,7.87,8.22,8.58,8.96,9.35,9.76,10.19,10.65,11.12,11.62,12.14,12.69,6.01,6.21,6.40,6.59,6.77,6.97,7.14,7.32,7.50,7.69,7.88,8.09,8.30,8.54,8.80,9.06
HND,Honduras,7.7,8.07,8.45,8.84,9.24,9.66,10.08,10.53,10.98,11.45,11.93,12.42,12.92,13.44,13.97,14.51,15.07,15.64,5.97,6.12,6.29,6.45,6.61,6.78,6.95,7.13,7.31,7.49,7.65,7.81,7.97,8.14,8.31,8.49
HRV,Croatia,15.25,15.68,16.13,16.59,17.06,17.54,18.03,18.53,19.04,19.56,20.1,20.64,21.19,21.75,22.33,22.91,23.51,24.12,6.04,6.13,6.22,6.33,6.45,6.58,6.73,6.89,7.06,7.24,7.42,7.59,7.78,7.97,8.16,8.36
HTI,Haiti,6.49,6.87,7.29,7.76,8.27,8.82,9.41,10.05,10.72,11.43,12.17,12.94,13.73,14.54,15.36,16.21,17.07,17.94,5.55,5.75,5.95,6.16,6.38,6.59,6.81,7.02,7.23,7.43,7.63,7.80,7.98,8.17,8.36,8.55
HUN,Hungary,18.65,19.06,19.49,19.96,20.44,20.95,21.48,22.03,22.6,23.18,23.78,24.39,25.01,25.63,26.25,26.89,27.53,28.17,7.14,7.22,7.32,7.43,7.55,7.68,7.80,7.93,8.06,8.18,8.30,8.41,8.54,8.65,8.77,8.90
IDN,Indonesia,1.2,1.32,1.45,1.59,1.74,1.89,2.06,2.24,2.43,2.63,2.84,3.07,3.31,3.57,3.85,4.14,4.45,4.78,5.67,5.82,5.97,6.12,6.26,6.39,6.52,6.63,6.74,6.84,6.94,7.04,7.13,7.23,7.32,7.42
IND,India,0.91,0.97,1.04,1.11,1.18,1.26,1.35,1.44,1.54,1.64,1.75,1.87,1.99,2.12,2.27,2.42,2.58,2.75,7.13,7.32,7.52,7.70,7.87,8.04,8.19,8.33,8.45,8.55,8.65,8.73,8.81,8.89,8.97,9.05
IRL,Ireland,14.86,15.39,15.93,16.48,17.04,17.61,18.18,18.76,19.35,19.95,20.55,21.17,21.79,22.41,23.06,23.71,24.38,25.06,6.21,6.34,6.48,6.60,6.71,6.81,6.89,6.97,7.03,7.08,7.12,7.15,7.18,7.22,7.26,7.31
IRN,Iran (Islamic Republic of),9.9,10.35,10.8,11.27,11.76,12.25,12.77,13.29,13.83,14.38,14.94,15.52,16.11,16.72,17.34,17.97,18.62,19.27,7.19,7.39,7.60,7.84,8.11,8.40,8.70,9.00,9.31,9.61,9.90,10.19,10.48,10.79,11.08,11.39
IRQ,Iraq,14.58,14.97,15.37,15.79,16.23,16.68,17.15,17.64,18.14,18.66,19.2,19.75,20.32,20.91,21.51,22.13,22.77,23.43,11.18,11.50,11.84,12.17,12.44,12.78,13.14,13.52,13.92,14.34,14.78,15.23,15.70,16.20,16.72,17.23
ISL,Iceland,15.9,16.36,16.81,17.27,17.74,18.21,18.68,19.15,19.63,20.11,20.59,21.08,21.58,22.08,22.6,23.13,23.66,24.21,7.95,7.95,7.95,7.94,7.93,7.91,7.90,7.88,7.86,7.83,7.79,7.74,7.70,7.67,7.65,7.63
ISR,Israel,18.43,18.85,19.27,19.69,20.11,20.54,20.97,21.4,21.83,22.26,22.7,23.14,23.58,24.03,24.48,24.94,25.41,25.89,6.74,6.77,6.80,6.81,6.82,6.83,6.83,6.83,6.84,6.85,6.87,6.91,6.95,6.99,7.04,7.09
