country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Saint Lucia,0.89,0.95,1.02,1.09,1.17,1.25,1.34,1.44,1.54,1.65,1.77,1.89,2.03,2.17,2.33,2.49,2.67,2.86
Liechtenstein,1.66,1.77,1.89,2.01,2.14,2.28,2.42,2.58,2.74,2.91,3.09,3.28,3.48,3.69,3.91,4.14,4.39,4.65
Sri Lanka,16.88,17.25,17.63,18.02,18.41,18.81,19.22,19.64,20.06,20.5,20.93,21.38,21.83,22.29,22.75,23.21,23.68,24.16
Lesotho,15.47,15.95,16.43,16.92,17.42,17.94,18.46,18.98,19.51,20.04,20.58,21.12,21.67,22.22,22.78,23.34,23.92,24.5
Lithuania,14.68,15.02,15.37,15.73,16.1,16.49,16.88,17.28,17.69,18.1,18.51,18.93,19.36,19.79,20.23,20.68,21.13,21.6
Luxembourg,10.14,10.55,10.98,11.42,11.86,12.32,12.8,13.3,13.82,14.36,14.93,15.51,16.12,16.74,17.39,18.05,18.73,19.42
Latvia,9.99,10.29,10.59,10.9,11.22,11.55,11.89,12.23,12.58,12.94,13.3,13.67,14.06,14.45,14.86,15.28,15.71,16.16
Morocco,1.09,1.16,1.22,1.29,1.37,1.45,1.53,1.62,1.71,1.82,1.93,2.05,2.18,2.32,2.47,2.63,2.8,2.98
Monaco,1.42,1.52,1.65,1.79,1.94,2.12,2.31,2.53,2.76,3.02,3.3,3.6,3.92,4.25,4.61,5,5.4,5.83
Republic of Moldova,15.67,16.14,16.63,17.11,17.6,18.1,18.6,19.09,19.59,20.1,20.6,21.12,21.63,22.15,22.68,23.21,23.76,24.31
Madagascar,36.59,37.28,37.98,38.68,39.38,40.08,40.79,41.49,42.19,42.89,43.59,44.29,44.98,45.67,46.37,47.05,47.74,48.41
Maldives,15.36,15.73,16.1,16.48,16.85,17.23,17.62,18.01,18.42,18.84,19.27,19.71,20.16,20.63,21.11,21.6,22.11,22.63
Mexico,1.54,1.64,1.75,1.87,2,2.14,2.28,2.43,2.6,2.77,2.95,3.14,3.34,3.56,3.79,4.03,4.29,4.56
Marshall Islands,20.74,21.23,21.72,22.21,22.71,23.2,23.7,24.19,24.68,25.17,25.67,26.16,26.65,27.15,27.64,28.14,28.64,29.15
The former Yugoslav Republic of Macedonia,1.14,1.23,1.33,1.43,1.54,1.66,1.79,1.93,2.08,2.24,2.41,2.6,2.8,3.01,3.24,3.49,3.75,4.03
Mali,13.89,14.48,15.06,15.65,16.24,16.83,17.42,18,18.55,19.1,19.63,20.15,20.67,21.19,21.7,22.21,22.73,23.26
Malta,8.32,8.61,8.94,9.3,9.71,10.16,10.64,11.15,11.7,12.28,12.88,13.5,14.13,14.78,15.45,16.13,16.82,17.52
Myanmar,1.41,1.49,1.58,1.66,1.75,1.84,1.93,2.03,2.13,2.23,2.34,2.45,2.57,2.7,2.83,2.97,3.12,3.28
Montenegro,2.64,2.81,2.98,3.17,3.36,3.56,3.77,3.98,4.21,4.44,4.68,4.93,5.18,5.45,5.73,6.02,6.32,6.63
Mongolia,3.15,3.27,3.39,3.51,3.63,3.75,3.88,4.01,4.14,4.28,4.42,4.56,4.71,4.87,5.04,5.21,5.4,5.59
Mozambique,0.89,0.95,1,1.06,1.12,1.18,1.25,1.31,1.38,1.46,1.53,1.61,1.7,1.79,1.88,1.98,2.09,2.21
Mauritania,4.42,4.78,5.17,5.57,5.98,6.42,6.87,7.34,7.82,8.32,8.84,9.38,9.94,10.51,11.11,11.72,12.35,12.99
